distance,ratio,ratio_hun,C1,C3,C1-C3,ratio_ad,res
49,0.2,20,15.82694096,20.81182586,-4.984884905,-1.386294361,0.245539206
75,0.325,32.5,24.22490963,31.8548355,-7.629925875,-0.730887509,0.300027796
113,0.439,43.9,36.49886384,47.99461882,-11.49575499,-0.245221492,0.390625119
118,0.45,45,38.11385781,50.11827452,-12.00441671,-0.200670695,0.403301533
155,0.467,46.7,50.06481323,65.8333267,-15.76851348,-0.132192166,0.500040299
204,0.606,60.6,65.89175418,86.64515256,-20.75339838,0.430529077,0.626948706
210,0.635,63.5,67.82974695,89.1935394,-21.36379245,0.553727645,0.641688049
428,0.948,94.8,138.2434843,181.7849279,-43.54144366,2.903110784,0.947432795
