distance,ratio,ratio_hun,C1,C2,C3,intercept,,,
75,0.325,32.5,25.5404625,22.90935675,31.8548355,1,,-0.825964069,0.437812707
428,0.948,94.8,145.750906,130.7360625,181.7849279,1,,2.820459699,16.78456474
49,0.2,20,16.6864355,14.96744641,20.81182586,1,,-1.094539192,0.334693801
155,0.467,46.7,52.7836225,47.34600395,65.8333267,1,,0.000420924,1.000421012
210,0.635,63.5,71.513295,64.1461989,89.1935394,1,,0.568560607,1.76572365
113,0.439,43.9,38.4809635,34.51676417,47.99461882,1,,-0.433431197,0.648280894
118,0.45,45,40.183661,36.04405462,50.11827452,1,,-0.381782135,0.682643761
204,0.606,60.6,69.470058,62.31345036,86.64515256,1,,0.506581732,1.659608501
